title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price,course_description,course_syllabus,course_url
How to Learn Online,Learn essential strategies for successful online learning,"124,980",Self-paced on your time,edX,Nina Huntemann-Robyn Belair-Ben Piscopo,Introductory,Education & Teacher Training,English,English,2–3 hours per week,2 Weeks,FREE-Add a Verified Certificate for $49 USD,"Designed for those who are new to elearning, this course will prepare you with strategies to be a successful online learner.The edX learning design team has curated some of the most powerful, science-backed techniques which you can start using right away and on any learning platform.The Verified Certificate for this course is free. Use the following coupon code before September 1, 2020 to upgrade at no cost to you: Y5ZADM5NU2AN5JU7This course will help you answer the following questions:","Welcome - We start with opportunities to meet your instructors and fellow learners. Self-care for Learning - In this module, we then explore baseline self-care strategies that will help you maintain a healthy mind for effective online learning, the connections between memory and learning, and the importance of sleep. Space, Time, and Technology - In this module we address the challenges involved with creating a space for learning, including managing your technology. We also cover techniques for time management and keeping a routine. Learning Strategies - This module will help you get the most out your online learning experience. We cover effective study strategies and practices, making plans and setting priorities, and practicing self-regulation skills. Communication and Community - In this module, we talk about the importance of social learning. We cover strategies for communication, collaborating, and building connections with your instructors and fellow learners. What's Next? - Get started learning online!",https://www.edx.org/course/how-to-learn-online
Programming for Everybody (Getting Started with Python),"This course is a ""no prerequisite"" introduction to Python Programming. You will learn about variables, conditional execution, repeated execution and how we use functions. The homework is done in a web browser so you can do all of the programming assignments on a phone or public computer.","293,864",Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,English,English,2–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,"This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python. The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook ""Python for Everybody"". Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.",,https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt
CS50's Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,"2,442,271",Self-paced on your time,Harvard University,David J. Malan-Doug Lloyd-Brian Yu,Introductory,Computer Science,English,English,6–18 hours per week,12 Weeks,FREE-Add a Verified Certificate for $90 USD,"This is CS50x , Harvard University's introduction to the intellectual enterprises of computer science and the art of programming for majors and non-majors alike, with or without prior programming experience. An entry-level course taught by David J. Malan, CS50x teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development. Languages include C, Python, SQL, and JavaScript plus CSS and HTML. Problem sets inspired by real-world domains of biology, cryptography, finance, forensics, and gaming. The on-campus version of CS50x , CS50, is Harvard's largest course. Students who earn a satisfactory score on 9 problem sets (i.e., programming assignments) and a final project are eligible for a certificate. This is a self-paced course–you may take CS50x on your own schedule.HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement to learn more.Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form.",,https://www.edx.org/course/cs50s-introduction-to-computer-science
The Analytics Edge,"Through inspiring examples and stories, discover the power of data and use analytics to provide an edge to your career and your life.","129,555",Instructor-led on a course schedule,Massachusetts Institute of Technology,Dimitris Bertsimas-Allison O'Hair-John Silberholz-Iain Dunning,Intermediate,Data Analysis & Statistics,English,English,10–15 hours per week,13 Weeks,FREE-Add a Verified Certificate for $199 USD,"In the last decade, the amount of data available to organizations has reached unprecedented levels. Data is transforming business, social interactions, and the future of our society. In this course, you will learn how to use data and analytics to give an edge to your career and your life. We will examine real world examples of how analytics have been used to significantly improve a business or industry. These examples include Moneyball, eHarmony, the Framingham Heart Study, Twitter, IBM Watson, and Netflix. Through these examples and many more, we will teach you the following analytics methods: linear regression, logistic regression, trees, text analytics, clustering, visualization, and optimization. We will be using the statistical software R to build models and work with data. The contents of this course are essentially the same as those of the corresponding MIT class (The Analytics Edge). It is a challenging class, but it will enable you to apply analytics to real-world applications.The class will consist of lecture videos, which are broken into small pieces, usually between 4 and 8 minutes each. After each lecture piece, we will ask you a ""quick question"" to assess your understanding of the material. There will also be a recitation, in which one of the teaching assistants will go over the methods introduced with a new example and data set. Each week will have a homework assignment that involves working in R or LibreOffice with various data sets. (R is a free statistical and computing software environment we'll use in the course. See the Software FAQ below for more info). At the end of the class there will be a final exam, which will be similar to the homework assignments.",,https://www.edx.org/course/the-analytics-edge
Marketing Analytics: Marketing Measurement Strategy,This course is part of a MicroMasters® Program,"81,140",Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Introductory,Computer Science,English,English,5–7 hours per week,4 Weeks,FREE-Add a Verified Certificate for $249 USD,"Begin your journey in a new career in marketing analytics. Learn about powerful strategies and methodology, starting with identifying market trends and metrics used to measure marketing success.In this marketing course, you will learn how to execute market sizing, identify market trends, and predict future conditions.This course is taught by Stephan Sorger who has held leadership roles in marketing and product development at companies such as Oracle, 3Com and NASA. He has also taught for over a decade at UC Berkeley Extension and is the author of two widely adopted marketing textbooks. This course will equip you with the knowledge and skills necessary to immediately see practical benefits in the workplace.Analytics-based marketing is increasingly important in determining a company’s spending and ROI. Many entry-level positions in marketing now require some basic level of knowledge in this rapidly growing field.",,https://www.edx.org/course/marketing-analytics-marketing-measurement-strategy
Introduction to Project Management,Learn the principles of project management and apply them in your own work and life.,"301,793",Self-paced on your time,University of Adelaide,Frank Schultmann-Noel Lindsay-Anton Jordaan-John Sing,Introductory,Business & Management,English,English,2–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,"Project management is an essential skill-set for many careers and in many contexts in our lives. Introduction to Project Management is an ideal starting point if you need to manage projects at work or at home, while not necessarily being a formally trained project manager. It is also suitable if you are considering undertaking a project in the near future and are seeking to learn and apply essential project management knowledge and skills.To deliver a project successfully, it’s important to start by clearly identifying what the project is, and what its outcomes will be. In the course, we will show you practical ways to explore and understand your goals from the outset of your project, and to consider all the factors that may affect its execution. Step by step you will learn how to plan, scope, schedule, cost and manage your project from beginning to end. Since every project relies on the people who are delivering it, the course also enables you to explore how you can effectively communicate, manage people and employ leadership skills to successfully deliver your own project.In Introduction to Project Management, you will learn practical ways to use project management skills, whether your project is large or small. Join us to explore how you can benefit from using project management techniques in your own projects.",,https://www.edx.org/course/introduction-to-project-management
Leading High-Performing Teams,"Learn how to motivate, engage and empower people to build effective and high performing teams.","32,847",Self-paced on your time,The University of Queensland,Tyler G. Okimoto,Intermediate,Communication,English,English,8–10 hours per week,10 Weeks,FREE-Add a Verified Certificate for $5 USD,"This course will blend business theory and real-world insights to teach you the skills you need to better lead people and teams within your organization. Key topics will include motivation, communication, conflict management, team dynamics, and development of a healthy organizational culture.These “people skills” rank among the most challenging competencies for both novice and experienced leaders. This course will challenge you to understand your followers on a deeper level, as well as help you to reflect and improve on your own leadership practice.The course will draw on knowledge from psychology, human resource management, and organizational behavior, as well as the expertise of the management faculty and the The University of Queensland. Through a series of engaging videos, interviews, written reflections, peer feedback, self-insight activities, and simulations, we unpack the ingredients that are critical for developing more effective people and higher performing teams.","MODULE 1: INTRODUCTION TO TEAMS
Focuses on recognizing the distinction between groups and teams; developing an understanding of your own group/team loyalties and priorities and considering the building blocks for high-performing teams. MODULE 2: MOTIVATING AND ENGAGING PEOPLE
Examines what motivates and engages people at work, developing strategies for improving motivation and engagement in your employees, and what motivates and drives your own behavior. MODULE 3: MANAGING WORK RELATIONSHIPS
Considers the nature of your work relationships, how to develop strategies for strengthening employee trust and attachment to the group, how to manage those particularly difficult people at work, and recognizing the importance of external stakeholder relationships. MODULE 4: LEADING TEAMS FOR EXECUTION
Considers how to recognize the ingredients for team execution, how to identify challenges in team communication and coordination, and how to develop strategies to enhance team communication/coordination. MODULE 5: LEADING TEAMS TO SOLVE PROBLEMS
Focuses on recognizing the value of openness and inclusion for problem solving and creative teams, how to develop better problem solving in your teams - both in execution and in team culture. MODULE 6: WHEN GOOD TEAMS FAIL (PART 1): TOO MUCH CONFLICT!
Examines the causes and consequences of serious and escalating conflict, developing strategies for preventing serious/escalating conflict, and developing competencies for resolving serious conflict. MODULE 7: WHEN GOOD TEAMS FAIL (PART 2): TOO MUCH COHESION!
Enables you to recognize the warning signs that your team is too cohesive and develop strategies for promoting productive conflict in teams. MODULE 8: BRINGING DIVIDED GROUPS TOGETHER
Enables you to recognize patterns and implications of intergroup behavior in your organization, develop strategies for bridging organizational silos and identify the steps for building an inclusive organizational identity. MODULE 9: ORGANIZATIONAL CULTURE
Enables you to identify the impact of organizational culture and its (non) alignment to a broader organizational strategy, and recognize points of potential influence when trying to change organizational culture. MODULE 10: BRINGING IT TOGETHER: ANALYZING AND DEVELOPING YOUR TEAM
Develops skills in recognizing the strengths and weaknesses of your team, critically analyzing the processes affecting team effectiveness, and considering ways to further develop your team for high-performance.",https://www.edx.org/course/leading-high-performing-teams
The Foundations of Happiness at Work,Learn why happiness at work matters and how to increase it within yourself and across your organization.,"67,073",Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $199 USD,"This course explains what happiness at work looks like, why it matters, and how to cultivate it.It begins by defining happiness and making the case that happiness at work improves the performance of individual employees and organizations as a whole, increasing innovation, productivity, engagement, retention, and the quality of their work. It then explores the key factors that empirical research has linked to workplace happiness, zeroing in on practices such as gratitude, developing a strong sense of purpose, and forming authentic, cooperative connections with others. The course will also highlight common barriers to workplace happiness, both at the individual and cultural level.Finally, the course presents a practical framework for workplace happiness and explores accessible techniques for: a) evaluating happiness in an organization, b) creating an effective strategy to increase workplace happiness, and c) implementing that strategy in your own work life, within your team, or across the culture of your organization, with special tips for workplace leaders.The course instructors are expert faculty from UC Berkeley’s Greater Good Science Center, Dacher Keltner, Ph.D., and Emiliana Simon-Thomas, Ph.D., whose earlier edX course, The Science of Happiness, has been a global phenomenon, introducing a half million students worldwide to the research-based keys to a happy, meaningful life. In this course, they tailor their scientific insights to the needs of the modern workplace.",,https://www.edx.org/course/the-foundations-of-happiness-at-work
"Managing Study, Stress and Mental Health at University","Develop a clearer understanding of what mental health is, and learn how best to recognise and respond to mental health concerns, such as negative thoughts and behaviours, in yourself and others.","23,061",Self-paced on your time,Curtin University,Ben Milbourn-Craig Thompson-Sonya Girdler-Frank Zimmerman,Introductory,Health & Safety,English,English,1–3 hours per week,2 Weeks,FREE-Add a Verified Certificate for $49 USD,"This short course is a German-Australian collaboration developed in response to the growing need to provide students with the knowledge, skills, and understanding to recognise, identify and respond to mental health challenges in themselves and others. The course is primarily for university students and those working in the tertiary education and local community sectors.We are grateful to the following organisations for their contribution to and continued support of this MOOC:In this course, you will:","Module 1: Mental fitnessBy the end of this module, you will be able to:Module 2: Cognitive-behavioural strategies to increase mental fitnessBy the end of this module, you will be able to:",https://www.edx.org/course/managing-study-stress-and-mental-health-at-univers
Six Sigma: Define and Measure,"An introduction to the Six Sigma methodology and the DMAIC cycle for process improvement with a focus on the Define and Measure phases, including basic statistics for understanding sampling plans and calculating process capability.","92,411",Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,3–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,"Understand the background and meaning of Six Sigma and the five steps of the DMAIC process improvement flow: Define, Measure, Analyze, Improve and Control. Discuss what ""Quality"" means and how to identify the Voice of the Customer.You will learn how to set an improvement project goal, calculate process yield, and identify Critical-to-Quality parameters.You will learn how to map a process and to use the necessary statistical techniques to establish the baseline performance of a process and to calculate the process capability.To complement the lectures, we provide interactive exercises, which allow learners to see the statistics ""in action."" Learners then master the statistical concepts by completing practice problems. These are then reinforced using interactive case studies, which illustrate the application of the statistics in quality improvement situations.Upon successful completion of this program, learners will earn the TUM Lean and Six Sigma Yellow Belt certification, confirming mastery of Lean Six Sigma fundamentals to a Green Belt level. The material is based on the American Society for Quality (www.asq.org) Body of Knowledge up to a Green Belt Level. The Professional Certificate is designed as preparation for a Lean Six Sigma Green Belt exam.","Week 1: Six Sigma Introduction
Introduction to the Six Sigma Methodology and the DMAIC process improvement cycle. Understand the contributors to the cost of quality. Discuss the difference between defects and defectives in a process and how to calculate process yield, including a comparison of processes of different complexity using the metric DPMO.Week 2: DEFINE - Defining the Problem
Discuss how to understand customer expectations, using the Kano Model to categorize quality characteristics. Start the first and difficult task of a Six Sigma project, Defining the Problem, and review the key content in a Project Charter.Week 3: MEASURE - Statistics Review
Review of random variables and probability distributions used commonly in quality engineering, such as Binomial, Poisson, and Exponential. Cover descriptive statistics, emphasizing the importance of clearly communicating the results of your project.Week 4: MEASURE - Normal Distribution
Learn the characteristics of the Normal Distribution and how to use the Standard Normal to calculate probabilities related to normally distributed variables. Cover the Central Limit Theorem, and how it relates to sampling theory.Week 5: MEASURE - Process Mapping
Introduce Process Mapping, including SIPOC and Value Stream Mapping. We identify the Critical-to-Quality characteristic for a Six Sigma projectWeek 6: MEASURE - Measurement System Analysis
Learn the basics of Measurement Theory and Sampling Plans, including
Precision, Accuracy, Linearity, Bias, Stability, Gage Repeatability & ReproducibilityWeek 7: MEASURE - Process Capability
Introduction to Process Capability and the metrics CP/CPK for establishing our baseline process performance.Week 8: Quality Topics and Course Summary Cover the basics of Tolerance Design and the risk assessment tool failure Mode and Effects Analysis (FMEA).
Review the complete Six Sigma Roadmap before summarizing and closing the course. ",https://www.edx.org/course/six-sigma-define-and-measure
